qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	MarmosetClass	OldWorldClass
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	720582	56.612	242	98	2	17	254	17	255	1.03e-96	277.0	class II	class II
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	3117	53.725	255	116	2	1	254	1	254	2.32e-93	268.0	class II	class II
NP_001257840.1|HLA_class_II_histocompatibility_antigen,_DR_alpha_chain_precursor_[Callithrix_jacchus]	3117	53.725	255	116	2	1	254	1	254	2.32e-93	268.0	class II	class II
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	3105	78.453	362	78	0	1	362	1	362	0.0	585.0	class I	class I
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	3105	78.393	361	78	0	1	361	1	361	0.0	581.0	class I	class I
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	3105	80.663	362	70	0	1	362	4	365	0.0	581.0	class I	class I
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	711832	80.387	362	71	0	1	362	4	365	0.0	576.0	class I	class I
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	715737	80.663	362	70	0	1	362	4	365	0.0	575.0	class I	class I
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	3105	79.006	362	76	0	1	362	4	365	0.0	570.0	class I	class I
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	699243	79.558	362	72	1	1	362	4	363	0.0	567.0	class I	class I
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	699243	79.501	361	72	1	1	361	4	362	0.0	563.0	class I	class I
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	711832	78.729	362	77	0	1	362	4	365	0.0	562.0	class I	class I
NP_001288777.1|patr_class_I_histocompatibility_antigen,_alpha_chain_E_precursor_[Callithrix_jacchus]	140708851	79.282	362	75	0	1	362	78	439	0.0	562.0	class I	class I
XP_002742862.1|guanine_nucleotide-binding_protein_G(q)_subunit_alpha_isoform_X2_[Callithrix_jacchus]	2775	50.847	354	171	2	7	358	1	353	1.01e-125	359.0	unknown	
XP_002742862.1|guanine_nucleotide-binding_protein_G(q)_subunit_alpha_isoform_X2_[Callithrix_jacchus]	2775	50.847	354	171	2	7	358	1	353	3.62e-122	350.0	unknown	
XP_002742862.1|guanine_nucleotide-binding_protein_G(q)_subunit_alpha_isoform_X2_[Callithrix_jacchus]	2775	51.163	301	144	2	60	358	12	311	3.19e-102	297.0	unknown	
XP_002742862.1|guanine_nucleotide-binding_protein_G(q)_subunit_alpha_isoform_X2_[Callithrix_jacchus]	2775	51.163	301	144	2	60	358	12	311	3.19e-102	297.0	unknown	
XP_002744142.1|guanine_nucleotide-binding_protein_subunit_alpha-12_[Callithrix_jacchus]	2775	43.84	349	191	4	32	379	9	353	2.56e-99	292.0	unknown	
XP_002744142.1|guanine_nucleotide-binding_protein_subunit_alpha-12_[Callithrix_jacchus]	2775	42.693	349	195	4	32	379	9	353	5.92e-97	286.0	unknown	
XP_002744142.1|guanine_nucleotide-binding_protein_subunit_alpha-12_[Callithrix_jacchus]	2775	42.763	304	169	4	77	379	12	311	1.35e-83	251.0	unknown	
XP_002744142.1|guanine_nucleotide-binding_protein_subunit_alpha-12_[Callithrix_jacchus]	2775	42.763	304	169	4	77	379	12	311	1.35e-83	251.0	unknown	
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	3105	36.752	351	209	9	1	345	1	344	1.29e-68	213.0	unknown	class I
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	3105	36.752	351	209	9	1	345	1	344	5.72e-68	212.0	unknown	class I
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	100187576	37.537	341	200	10	1	335	4	337	3.76e-67	208.0	unknown	class I
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	3105	36.615	325	197	8	27	345	26	347	3.8900000000000003e-66	206.0	unknown	class I
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	720132	37.778	315	187	8	27	335	69	380	1.3100000000000001e-65	205.0	unknown	class I
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	106995452	37.5	312	186	8	27	332	56	364	1.86e-65	205.0	unknown	class I
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	106995452	37.5	312	186	8	27	332	69	377	2.28e-65	206.0	unknown	class I
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	3105	35.692	325	200	8	27	345	26	347	5.72e-65	203.0	unknown	class I
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	715737	36.182	351	211	10	1	345	4	347	1.08e-64	202.0	unknown	class I
XP_002746173.1|hereditary_hemochromatosis_protein_isoform_X2_[Callithrix_jacchus]	699243	36.182	351	211	10	1	345	4	347	5.36e-64	201.0	unknown	class I
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	3117	86.1	259	32	1	1	259	1	255	5.2e-168	458.0	class II	class II
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	3117	85.714	259	33	1	1	259	1	255	6.34e-167	455.0	class II	class II
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	720582	84.556	259	36	1	1	259	1	255	2.34e-162	444.0	class II	class II
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	720582	84.556	259	36	1	1	259	1	255	2.34e-162	444.0	class II	class II
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	3117	84.556	259	35	2	1	259	1	254	8.59e-162	442.0	class II	class II
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	3117	84.556	259	35	2	1	259	1	254	8.59e-162	442.0	class II	class II
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	3117	84.556	259	35	2	1	259	1	254	8.59e-162	442.0	class II	class II
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	3117	84.556	259	35	2	1	259	1	254	8.59e-162	442.0	class II	class II
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	3117	84.556	259	36	1	1	259	1	255	3.7000000000000006e-161	441.0	class II	class II
XP_002746429.1|HLA_class_II_histocompatibility_antigen,_DQ_alpha_2_chain_[Callithrix_jacchus]	3117	84.17	259	36	2	1	259	1	254	4.6e-161	440.0	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	103221688	91.506	259	22	0	1	259	1	259	1.45e-159	437.0	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	103221684	31.1	209	133	6	49	252	38	240	2.7300000000000003e-26	96.7	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	3117	32.599	227	131	8	37	252	25	240	3.82e-26	96.3	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	3117	32.227	211	124	5	51	252	40	240	5.430000000000001e-26	95.9	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	3117	29.557	203	134	4	54	252	43	240	7.64e-26	95.5	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	720582	30.808	198	126	5	60	252	49	240	9.9e-26	95.1	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	720582	31.034	203	127	5	58	252	43	240	5.73e-25	93.2	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	720582	31.034	203	127	5	58	252	43	240	5.73e-25	93.2	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	103221704	30.412	194	126	4	63	252	51	239	9.46e-24	89.7	class II	class II
XP_002746456.3|HLA_class_II_histocompatibility_antigen,_DM_alpha_chain_[Callithrix_jacchus]	3117	29.204	226	139	6	37	252	25	239	7.98e-23	87.4	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	103221684	90.4	250	24	0	1	250	1	250	4.47e-172	468.0	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	103221684	91.053	190	17	0	1	190	1	190	2.08e-129	360.0	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	3117	58.4	250	104	0	1	250	1	250	4.070000000000001e-110	311.0	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	3117	58.0	250	105	0	1	250	1	250	2.88e-109	309.0	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	3117	58.0	250	104	1	1	250	1	249	2.26e-105	299.0	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	3117	58.0	250	104	1	1	250	1	249	2.49e-105	299.0	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	3117	58.0	250	104	1	1	250	1	249	2.49e-105	299.0	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	3117	58.0	250	104	1	1	250	1	249	2.49e-105	299.0	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	3117	58.0	250	104	1	1	250	1	249	2.49e-105	299.0	class II	class II
XP_002746457.3|HLA_class_II_histocompatibility_antigen,_DO_alpha_chain_[Callithrix_jacchus]	720582	58.898	236	97	0	15	250	15	250	3.61e-105	298.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	717969	82.422	256	45	0	1	256	2	257	1.05e-164	449.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	717969	82.422	256	45	0	1	256	2	257	1.05e-164	449.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	103221696	61.753	251	94	1	3	251	7	257	6.73e-115	323.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	103221696	61.024	254	97	1	3	254	7	260	9.1e-115	324.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	3119	63.347	251	90	1	3	251	7	257	2.48e-111	315.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	3123	62.602	246	90	1	12	255	13	258	7.2e-109	308.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	100429241	62.81	242	88	1	12	251	16	257	1.35e-107	305.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	692100	61.633	245	92	1	13	255	14	258	1.8700000000000002e-107	305.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	692100	61.633	245	92	1	13	255	14	258	1.8700000000000002e-107	305.0	class II	class II
XP_002746458.2|HLA_class_II_histocompatibility_antigen,_DP_beta_1_chain_isoform_X3_[Callithrix_jacchus]	3123	61.382	246	93	1	12	255	13	258	2.9e-106	302.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	3117	87.645	259	28	1	1	259	1	255	2.29e-169	461.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	3117	87.259	259	29	1	1	259	1	255	2.47e-168	459.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	3117	86.486	259	30	2	1	259	1	254	3.4600000000000003e-164	448.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	3117	86.486	259	30	2	1	259	1	254	3.4600000000000003e-164	448.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	3117	86.486	259	30	2	1	259	1	254	3.4600000000000003e-164	448.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	3117	86.486	259	30	2	1	259	1	254	3.4600000000000003e-164	448.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	3117	86.1	259	31	2	1	259	1	254	1.7700000000000003e-163	446.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	720582	84.556	259	36	1	1	259	1	255	2.52e-158	433.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	720582	84.556	259	36	1	1	259	1	255	2.52e-158	433.0	class II	class II
XP_002746461.3|HLA_class_II_histocompatibility_antigen,_DQ_alpha_1_chain_[Callithrix_jacchus]	720582	84.17	259	37	1	1	259	1	255	2.52e-158	433.0	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	103221696	32.37	173	104	6	77	243	90	255	1.4200000000000003e-21	84.3	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	103221696	32.37	173	104	6	77	243	90	255	3.1600000000000006e-21	83.6	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	692100	26.577	222	152	5	2	220	17	230	3.46e-20	80.5	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	692100	26.577	222	152	5	2	220	17	230	3.46e-20	80.5	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	3120	31.973	147	95	3	65	209	74	217	9.55e-20	78.6	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	717969	27.778	180	127	3	65	243	73	250	1.15e-19	79.0	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	717969	27.778	180	127	3	65	243	73	250	1.15e-19	79.0	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	3120	31.724	145	94	3	65	207	74	215	4.66e-19	76.6	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	3120	31.724	145	94	3	65	207	74	215	4.66e-19	76.6	class II	class II
XP_002746464.2|HLA_class_II_histocompatibility_antigen,_DM_beta_chain_isoform_X1_[Callithrix_jacchus]	3120	31.724	145	94	3	65	207	74	215	4.66e-19	76.6	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	103221704	61.943	247	94	0	14	260	8	254	4.3800000000000003e-110	311.0	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	3117	58.167	251	104	1	11	260	5	255	2.54e-105	299.0	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	3117	57.769	251	105	1	11	260	5	255	2.52e-104	296.0	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	3117	58.577	239	98	1	23	260	17	255	7.01e-101	288.0	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	720582	58.577	239	98	1	23	260	17	255	1.9e-100	287.0	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	720582	58.577	239	98	1	23	260	17	255	1.9e-100	287.0	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	720582	60.0	230	91	1	32	260	26	255	1.92e-100	287.0	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	3117	56.574	251	107	2	11	260	5	254	2.9000000000000003e-100	286.0	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	3117	56.574	251	107	2	11	260	5	254	2.9000000000000003e-100	286.0	class II	class II
XP_002746467.1|HLA_class_II_histocompatibility_antigen,_DP_alpha_1_chain_[Callithrix_jacchus]	3117	56.574	251	107	2	11	260	5	254	2.9000000000000003e-100	286.0	class II	class II
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	3106	25.664	226	155	10	86	304	20	239	6.48e-13	61.2	unknown	class I
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	715737	25.6	250	166	10	64	304	1	239	8.46e-13	60.8	unknown	class I
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	720132	24.138	232	162	7	81	304	57	282	1.12e-12	60.5	unknown	class I
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	699243	25.61	246	161	10	71	304	2	237	1.23e-12	60.1	unknown	class I
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	100187576	24.506	253	165	9	64	304	1	239	2.41e-12	59.3	unknown	class I
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	699243	25.203	246	162	10	71	304	2	237	3e-12	59.3	unknown	class I
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	711832	24.39	246	174	8	64	304	1	239	3.08e-12	59.3	unknown	class I
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	711832	24.895	237	166	8	64	295	1	230	5.89e-12	58.5	unknown	class I
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	699243	25.203	246	162	10	71	304	2	237	7.36e-12	58.2	unknown	class I
XP_002747181.4|UL16-binding_protein_3_isoform_X2_[Callithrix_jacchus]	3105	23.98	196	136	6	86	274	20	209	9.2e-12	57.8	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	720309	24.031	129	85	5	76	200	78	197	1.22e-07	44.3	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	3107	26.923	130	80	5	76	200	81	200	2.28e-07	43.5	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	114677644	24.806	129	84	5	76	200	81	200	3.36e-07	42.7	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	3107	26.923	130	80	5	76	200	81	200	3.84e-07	42.7	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	720132	24.427	131	86	5	74	200	122	243	5.39e-07	42.4	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	720372	23.308	133	87	5	76	204	81	202	6.19e-07	42.0	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	719702	23.664	131	87	5	74	200	121	242	7.55e-07	42.0	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	694372	23.664	131	87	5	74	200	122	243	9.13e-07	41.6	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	719702	23.664	131	87	5	74	200	121	242	9.99e-07	41.6	unknown	class I
XP_002747331.2|endothelial_protein_C_receptor_[Callithrix_jacchus]	719702	23.664	131	87	5	74	200	121	242	9.99e-07	41.6	unknown	class I
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	100428435	35.577	104	58	5	259	361	17	112	4.41e-11	54.3	unknown	class II
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	692100	35.043	117	64	6	249	361	123	231	2.39e-10	53.5	unknown	class II
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	692100	35.043	117	64	6	249	361	123	231	2.39e-10	53.5	unknown	class II
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	100428435	35.043	117	64	6	249	361	123	231	2.64e-10	53.1	unknown	class II
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	3123	35.043	117	64	6	249	361	123	231	3.63e-10	52.8	unknown	class II
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	3123	35.043	117	64	6	249	361	123	231	5.1e-10	52.4	unknown	class II
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	3123	35.043	117	64	6	249	361	123	231	6.95e-10	52.0	unknown	class II
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	3123	35.043	117	64	6	249	361	123	231	6.95e-10	52.0	unknown	class II
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	3123	35.043	117	64	6	249	361	136	244	7.37e-10	52.0	unknown	class II
XP_002747488.3|signal-regulatory_protein_beta-1_isoform_X1_[Callithrix_jacchus]	3123	34.188	117	65	6	249	361	123	231	9.31e-10	51.6	unknown	class II
XP_002748702.3|guanine_nucleotide-binding_protein_subunit_alpha-13_isoform_X1_[Callithrix_jacchus]	2775	43.49	361	194	5	17	376	2	353	1.73e-99	293.0	unknown	
XP_002748702.3|guanine_nucleotide-binding_protein_subunit_alpha-13_isoform_X1_[Callithrix_jacchus]	2775	42.659	361	197	5	17	376	2	353	7.96e-99	291.0	unknown	
XP_002748702.3|guanine_nucleotide-binding_protein_subunit_alpha-13_isoform_X1_[Callithrix_jacchus]	2775	42.718	309	167	5	69	376	12	311	1.89e-81	245.0	unknown	
XP_002748702.3|guanine_nucleotide-binding_protein_subunit_alpha-13_isoform_X1_[Callithrix_jacchus]	2775	42.718	309	167	5	69	376	12	311	1.89e-81	245.0	unknown	
